Time (ms),VDD_ARM voltage (V),VDD_ARM current (mA),VDD_ARM power (mW),NVCC_DRAM_1V1 voltage (V),NVCC_DRAM_1V1 current (mA),NVCC_DRAM_1V1 power (mW),VSYS_5V voltage (V),VSYS_5V current (mA),VSYS_5V power (mW),VDD_SOC voltage (V),VDD_SOC current (mA),VDD_SOC power (mW),LPD4_VDDQ voltage (V),LPD4_VDDQ current (mA),LPD4_VDDQ power (mW),LPD4_VDD2 voltage (V),LPD4_VDD2 current (mA),LPD4_VDD2 power (mW),NVCC_SD2 voltage (V),NVCC_SD2 current (mA),NVCC_SD2 power (mW),VDD_LVDS_1V8 voltage (V),VDD_LVDS_1V8 current (mA),VDD_LVDS_1V8 power (mW),VDD_HDMI_1V8 voltage (V),VDD_HDMI_1V8 current (mA),VDD_HDMI_1V8 power (mW),NVCC_SNVS_1V8 voltage (V),NVCC_SNVS_1V8 current (mA),NVCC_SNVS_1V8 power (mW),VDD_EARC_1V8 voltage (V),VDD_EARC_1V8 current (mA),VDD_EARC_1V8 power (mW),VDD_USB_1V8 voltage (V),VDD_USB_1V8 current (mA),VDD_USB_1V8 power (mW),VDD_PCI_1V8 voltage (V),VDD_PCI_1V8 current (mA),VDD_PCI_1V8 power (mW),VDD_MIPI_1V8 voltage (V),VDD_MIPI_1V8 current (mA),VDD_MIPI_1V8 power (mW),VDD_PLL_ANA_1V8 voltage (V),VDD_PLL_ANA_1V8 current (mA),VDD_PLL_ANA_1V8 power (mW),NVCC_SD1 voltage (V),NVCC_SD1 current (mA),NVCC_SD1 power (mW),LPD4_VDD1 voltage (V),LPD4_VDD1 current (mA),LPD4_VDD1 power (mW),CPU_VDD_1V8 voltage (V),CPU_VDD_1V8 current (mA),CPU_VDD_1V8 power (mW),BB_VDD_1V8 voltage (V),BB_VDD_1V8 current (mA),BB_VDD_1V8 power (mW),VDD_PLL_ANA_0V8 voltage (V),VDD_PLL_ANA_0V8 current (mA),VDD_PLL_ANA_0V8 power (mW),VDD_PCI_0V8 voltage (V),VDD_PCI_0V8 current (mA),VDD_PCI_0V8 power (mW),VDD_MIPI_0V8 voltage (V),VDD_MIPI_0V8 current (mA),VDD_MIPI_0V8 power (mW),VDD_HDMI_0V8 voltage (V),VDD_HDMI_0V8 current (mA),VDD_HDMI_0V8 power (mW),VDD_USB_3V3 voltage (V),VDD_USB_3V3 current (mA),VDD_USB_3V3 power (mW),VDD_USB_0V8 voltage (V),VDD_USB_0V8 current (mA),VDD_USB_0V8 power (mW),VDD_SD1_3V3 voltage (V),VDD_SD1_3V3 current (mA),VDD_SD1_3V3 power (mW),BB_VDD_3V3 voltage (V),BB_VDD_3V3 current (mA),BB_VDD_3V3 power (mW)
0.0231,0.9561,137.7500,131.7500,1.1055,61.7188,68.2500,5.2148,489.2500,2552.0000,0.9448,857.0000,809.5000,1.1025,-7.2031,-7.9414,1.0986,-7.5078,-8.2500,1.7871,0.1129,0.2018,1.7998,0.0122,0.0220,1.7969,-0.0214,-0.0384,1.8018,0.2544,0.4583,1.7988,0.0061,0.0110,1.7949,0.3127,0.5615,1.7969,0.0061,0.0110,1.7988,0.0793,0.1427,1.8047,3.5117,6.3359,1.7988,-0.7021,-1.2627,1.8008,1.1006,1.9814,1.7998,0.5186,0.9331,1.8037,13.4922,24.3438,0.9482,3.2344,3.0664,0.9512,9.4062,8.9453,0.9482,0.5312,0.5039,0.9448,1.2607,1.1914,3.3047,4.6953,15.5156,0.9443,2.3652,2.2344,3.3066,-2.8320,-9.3672,3.3008,260.5000,860.0000
0.1095,0.9492,25.4844,24.1875,1.0967,61.8750,67.8750,5.2070,465.0000,2422.0000,0.9375,852.0000,799.0000,1.1016,24.1719,26.6250,1.0977,-7.9336,-8.7109,1.7891,0.0854,0.1528,1.7998,0.0580,0.1044,1.7949,-0.0015,-0.0027,1.7988,0.3037,0.5464,1.7998,0.0168,0.0302,1.7959,0.3540,0.6357,1.7949,0.0122,0.0219,1.7930,0.0885,0.1587,1.7959,3.5176,6.3164,1.7979,-0.5186,-0.9321,1.7988,0.7583,1.3643,1.8037,10.0703,18.1562,1.7998,11.0469,19.8750,0.9448,3.4941,3.3008,0.9458,8.9531,8.4688,0.9453,0.4761,0.4500,0.9468,1.3066,1.2373,3.3047,3.4277,11.3281,0.9473,2.7539,2.6094,3.3047,3.6621,12.1016,3.3027,275.0000,908.5000
0.1825,0.9536,68.6875,65.5000,1.1094,96.9375,107.5625,5.2070,470.7500,2452.0000,0.9395,859.5000,807.5000,1.1016,23.2500,25.6094,1.1006,61.8438,68.0625,1.7871,0.1007,0.1799,1.7969,-0.0092,-0.0164,1.7969,0.0031,0.0055,1.7988,0.2603,0.4683,1.7959,0.0031,0.0055,1.7969,0.3188,0.5728,1.7969,-0.0336,-0.0603,1.7939,0.1053,0.1888,1.7969,3.4336,6.1680,1.7969,-0.7324,-1.3164,1.7988,0.9985,1.7959,1.7998,-0.1526,-0.2747,1.8008,10.8672,19.5625,0.9482,3.4824,3.3027,0.9497,8.3359,7.9180,0.9497,0.7051,0.6694,0.9531,1.2539,1.1953,3.3086,4.7891,15.8438,0.9478,2.6934,2.5527,3.3086,0.9766,3.2305,3.3066,265.7500,878.5000
0.2627,0.9478,54.0312,51.2188,1.0986,60.9688,67.0000,5.2109,451.7500,2354.0000,0.9375,858.0000,804.5000,1.1035,27.1562,29.9688,1.1006,-9.0938,-10.0078,1.7910,0.0793,0.1421,1.7930,-0.0427,-0.0766,1.7920,0.0168,0.0301,1.7949,0.2380,0.4272,1.7910,-0.0092,-0.0164,1.8018,0.3325,0.5991,1.7998,-0.0153,-0.0275,1.8047,0.0824,0.1487,1.8008,3.5508,6.3945,1.8047,-0.6714,-1.2119,1.8008,0.9248,1.6650,1.8018,0.3052,0.5498,1.8057,11.1719,20.1719,0.9507,3.4336,3.2637,0.9512,9.1328,8.6875,0.9526,0.8604,0.8198,0.9521,1.0254,0.9766,3.3086,3.5117,11.6172,0.9453,2.4570,2.3223,3.3027,-4.6016,-15.1953,3.3027,263.7500,871.0000
0.3301,0.9507,76.3125,72.5625,1.1025,61.8438,68.1875,5.2148,423.5000,2208.0000,0.9385,849.5000,797.0000,1.1025,19.9531,22.0000,1.1016,-8.0547,-8.8750,1.7910,0.1404,0.2515,1.7979,0.0153,0.0274,1.7939,0.0107,0.0192,1.7959,0.2710,0.4866,1.7969,-0.0046,-0.0082,1.7979,0.2959,0.5317,1.7979,0.0275,0.0494,1.8008,0.0854,0.1539,1.7988,3.5273,6.3438,1.7998,-0.2136,-0.3845,1.7969,1.1445,2.0566,1.7959,0.2747,0.4932,1.7988,12.7578,22.9531,0.9463,3.1035,2.9375,0.9458,8.9141,8.4297,0.9453,0.5034,0.4758,0.9424,1.4316,1.3496,3.2969,3.8535,12.7031,0.9434,2.7617,2.6055,3.3047,1.0371,3.4277,3.2949,250.6250,826.0000
0.3984,0.9502,63.9375,60.7500,1.1006,60.5938,66.6875,5.2148,468.2500,2442.0000,0.9399,847.5000,796.5000,1.0986,-6.7148,-7.3789,1.1055,4.6406,5.1289,1.7949,0.0641,0.1151,1.7988,0.0519,0.0933,1.8008,0.0046,0.0082,1.7979,0.2463,0.4429,1.7988,0.0046,0.0082,1.7969,0.3479,0.6250,1.7930,0.0061,0.0109,1.7969,0.0946,0.1700,1.7969,3.5117,6.3086,1.7988,-0.3052,-0.5488,1.7988,0.8770,1.5771,1.8057,25.4219,45.9062,1.7969,12.3281,22.1562,0.9536,3.4707,3.3105,0.9482,8.2266,7.8008,0.9512,0.6743,0.6416,0.9507,1.0625,1.0098,3.3066,4.5977,15.2031,0.9443,2.1289,2.0098,3.3086,3.2344,10.7031,3.3027,259.7500,858.0000
0.4646,0.9478,59.0625,55.9688,1.1016,60.3750,66.5000,5.2109,460.2500,2398.0000,0.9458,862.0000,815.5000,1.0996,14.7109,16.1719,1.1035,22.6406,24.9844,1.7871,0.1160,0.2073,1.7939,-0.0153,-0.0274,1.7998,0.0198,0.0357,1.7988,0.2739,0.4927,1.7969,-0.0061,-0.0110,1.8008,0.2930,0.5273,1.7998,-0.0183,-0.0330,1.7969,0.0504,0.0905,1.8008,3.5000,6.3047,1.8037,7.7500,13.9766,1.8057,2.7383,4.9453,1.8008,0.0610,0.1099,1.7979,13.2422,23.8125,0.9526,3.3203,3.1621,0.9512,8.7422,8.3125,0.9521,0.6255,0.5957,0.9497,1.3027,1.2373,3.3047,4.4141,14.5859,0.9502,2.8691,2.7266,3.3086,4.3711,14.4609,3.3066,268.0000,886.0000
0.5312,0.9404,115.9375,109.0000,1.0986,58.1562,63.9062,5.2148,443.7500,2314.0000,0.9404,841.0000,791.0000,1.1055,-6.5312,-7.2188,1.1035,-1.4043,-1.5498,1.7949,0.0977,0.1753,1.7959,-0.0366,-0.0658,1.7959,0.0137,0.0247,1.7979,0.2683,0.4824,1.7969,-0.0137,-0.0247,1.7949,0.3235,0.5806,1.7969,0.0092,0.0164,1.7930,0.0687,0.1231,1.7979,3.5156,6.3203,1.8008,-0.2747,-0.4946,1.7988,1.3242,2.3828,1.8008,1.6484,2.9688,1.7979,10.6797,19.2031,0.9487,3.1523,2.9902,0.9492,9.2109,8.7422,0.9487,0.3813,0.3618,0.9517,1.1963,1.1387,3.3086,4.8398,16.0156,0.9517,2.3652,2.2500,3.3125,3.3438,11.0781,3.3066,271.5000,898.0000
0.6001,0.9473,157.7500,149.3750,1.0947,60.5938,66.3125,5.2109,454.7500,2370.0000,0.9380,855.5000,802.5000,1.0947,-7.8750,-8.6172,1.0967,7.5078,8.2344,1.7861,0.1129,0.2017,1.7930,-0.0031,-0.0055,1.7900,-0.0183,-0.0328,1.7988,0.2488,0.4475,1.7920,-0.0031,-0.0055,1.7910,0.3447,0.6172,1.7949,0.0061,0.0110,1.7920,0.0748,0.1340,1.7900,3.5625,6.3789,1.7969,-0.3967,-0.7129,1.7998,0.8887,1.5996,1.7998,-0.0305,-0.0549,1.7959,11.2344,20.1719,0.9478,3.1797,3.0137,0.9463,9.0000,8.5156,0.9473,0.7266,0.6885,0.9409,1.0898,1.0254,3.3066,4.5391,15.0078,0.9507,2.7012,2.5684,3.3086,-3.8086,-12.6016,3.2988,244.5000,806.5000
0.6689,0.9546,72.6250,69.3125,1.1025,67.6875,74.6250,5.2148,469.7500,2450.0000,0.9438,847.0000,799.5000,1.0986,-3.7852,-4.1602,1.0996,0.3052,0.3357,1.7900,0.0977,0.1748,1.7949,-0.0336,-0.0602,1.8018,-0.0015,-0.0027,1.7988,0.2563,0.4612,1.8027,-0.0153,-0.0275,1.7939,0.3555,0.6377,1.7949,-0.0366,-0.0657,1.7988,0.0717,0.1290,1.7979,3.5000,6.2930,1.7979,-0.6714,-1.2070,1.7988,0.8750,1.5742,1.8008,-9.3984,-16.9219,1.8018,20.2031,36.4062,0.9517,3.2988,3.1387,0.9526,9.3203,8.8750,0.9551,0.5586,0.5337,0.9536,1.2480,1.1904,3.3047,3.8672,12.7812,0.9463,2.6934,2.5488,3.3047,3.4414,11.3750,3.3086,292.0000,966.0000
0.7344,0.9536,23.5000,22.4062,1.1045,60.5000,66.8125,5.2070,475.2500,2474.0000,0.9385,851.0000,798.5000,1.1025,3.8457,4.2383,1.1016,-2.0137,-2.2188,1.7900,0.0732,0.1311,1.7988,0.0122,0.0220,1.7949,-0.0519,-0.0931,1.7979,0.2383,0.4285,1.7949,0.0107,0.0192,1.7930,0.2944,0.5278,1.7959,0.0000,0.0000,1.7939,0.0687,0.1232,1.7959,3.5156,6.3125,1.8008,-0.5801,-1.0449,1.8008,1.3984,2.5176,1.8027,0.7935,1.4307,1.8027,14.4688,26.0781,0.9404,3.1465,2.9590,0.9448,9.0312,8.5312,0.9487,0.7568,0.7183,0.9453,1.0410,0.9839,3.3008,4.6250,15.2656,0.9409,2.2422,2.1094,3.3047,2.9785,9.8438,3.2969,255.8750,843.5000
